int_id,get_nearby_distance,z,fiberID,plate,mjd,bestobjid,specobjid
144,8.53963703343548E-05,0.3859257,151,7427,56751,1237661874013601827,8362100227948433408
145,0.000171187798120329,0.3705309,580,1353,53083,1237661874028871772,1523502054868281344
145,0.000425196194550726,0.3700202,410,10743,58222,1237661874028871772,12095655537095757824
146,0.00117070297908203,0.4951543,135,1605,53062,1237661948637544582,1807106510371710976
147,0.00017737253586403,0.1756542,249,1610,53144,1237661948641148990,1812767347363047424
148,0.000351204548864867,0.03102375,78,1417,53141,1237662504293892158,1595421661170001920
149,0.00125560070763219,0.2852145,107,1771,53498,1237662524696625212,1993998205641058304
150,5.75262847990088E-05,0.4175824,161,7683,58133,1237680075005952144,8650333376065327104
151,0.00064705549335217,0.321395,605,943,52376,1237658205575970929,1061889953148987392
151,0.000385317902997141,0.3218609,270,6662,56364,1237658205575970929,7500819503191969792
151,0.000111419635492037,0.3219058,578,7385,56710,1237658205575970929,8314929804039442432
152,0.0100080864049291,0.0004606231,531,1250,52930,1237660554376183949,1407520892879136768
152,0.0100080864049291,0.001250121,60,1251,52964,1237660554376183949,1408517325862234112
153,0.012357685559427,0.0004606231,194,1251,52964,1237660554913185806,1408554159501764608
154,0.000380628342039871,0.2308216,390,1848,54180,1237662697571025035,2080770300357666816
155,0.000530810179733978,0.02289685,120,2108,53473,1237664339328827423,2373430047240382464
156,0.00130716940045882,0.3636065,340,2135,53827,1237665429172125706,2403889823803795456
157,0.000511137722645754,0.136087,114,2158,54209,1237665429177696323,2429723405663102976
158,0.000118060119142728,0.02641824,278,2293,53730,1237667211586109448,2581764965027309568
159,0.00118316966596793,0.4583784,404,2526,54582,1237668271378661560,2844134292232103936
160,0.000248138980656851,0.4362721,278,2525,54569,1237668271915073651,2842973757490882560
161,1.43957342697492E-05,0.178817,630,7618,56898,1237679459748610052,8577278779139051520
162,0.00110187646898229,0.05024875,529,476,52027,1237651752920940614,536073800077305856
162,0.00110187646898229,0.05026412,523,476,52314,1237651752920940614,536072155624925184
163,0.00123570048364949,0.3428728,215,523,52026,1237651752942632987,588904784019351552
164,0.00253734413091641,0.2543997,498,762,52232,1237655108362109100,858072655658510336
165,0.00242420496203119,0.4871534,225,769,52282,1237655108368662532,865878914176673792
165,0.00242420496203119,0.4870799,238,769,54530,1237655108368662532,865882525304645632
165,0.000146802255219873,0.4828672,444,8188,57348,1237655108368662532,9218990606298402816
166,0.000361862666198156,0.08525841,29,1227,52733,1237658492816261137,1381487203007358976
167,0.000600882175243635,0.3079511,84,6006,56105,1237665550497546278,6762178032667217920
168,0.000629933006578674,0.1705441,89,2792,54556,1237665565001973817,3143537080475346944
169,0.000967955348819616,0.4207183,262,2216,53795,1237667430105677962,2495066275244435456
170,0.00109652305888349,0.2979022,150,2595,54207,1237668495247212561,2921751560524425216
171,4.04335106373427E-05,0.2840043,283,7609,56959,1237679504848912411,8567050298367168512
172,0.000621217952423101,0.2967729,383,565,52225,1237654601556033738,636238762933774336
173,0.00122952648132978,0.1601164,4,995,52731,1237658422476144713,1120271552638642176
174,0.000441167387851108,0.01317231,179,1305,52757,1237660669814177814,1469348627829778432
175,0.000318250671021322,0.04752789,310,1601,53115,1237660669820403794,1802651015267248128
176,0.00107864901842121,0.1389904,548,1305,52757,1237660670351245396,1469450057777440768
177,0.000913162304790925,0.2262018,494,1307,52999,1237660670889558085,1471687018244237312
178,0.00117888605779103,0.03562488,218,1603,53119,1237661811729498144,1804877526380603392
179,0.000869545243826641,0.270652,160,1608,53138,1237661811734151232,1810491083314980864
179,0.000286370837209477,0.2702015,248,3245,54894,1237661811734151232,3653613449533038592
180,0.000538665424276984,0.008624043,388,1615,53166,1237661812812349452,1818435055295424512
181,0.00243006235407841,0.1621236,396,886,52381,1237662302428463129,997656209060292608
181,8.76790812815298E-05,0.1617695,561,8222,57431,1237662302428463129,9257303365238673408
182,0.00203343111528333,0.4921223,55,1676,53147,1237662302438621215,1887023414951045120
182,2.0728574539412E-05,0.4925389,930,8490,57104,1237662302438621215,9559145964734009344
183,0.000814669049628856,0.4704914,16,1683,53436,1237662302446616670,1894893998909188096
183,0.000315577534673744,0.4704802,242,10727,58197,1237662302446616670,12077594958678478848
184,0.000937684617970274,0.1921579,620,1736,53052,1237663546898317389,1954732713785190400
184,0.000228753658602555,0.1921771,795,8276,57067,1237663546898317389,9318166275531493376
184,0.000228753658602555,0.1923193,411,8305,57749,1237663546898317389,9350711831155724288
185,0.000272153740696076,0.4267182,106,1779,53089,1237663546900021305,2003005123156011008
185,0.000283684057277942,0.4268849,556,7324,56935,1237663546900021305,8246243866182963200
186,0.00243525760167073,0.2201505,326,652,52138,1237672842284105777,734176385328769024
186,0.000840309133829185,0.2203586,665,7169,56628,1237672842284105777,8071759337163608064
187,0.000461795052322241,0.05618256,372,761,52266,1237673309358719012,856912121705818112
187,0.000461795052322241,0.05601526,396,761,54524,1237673309358719012,856918756658538496
188,0.000931894778846267,0.2110851,222,437,51869,1237673310430494741,492079313542211584
188,0.000931894778846267,0.2110707,234,437,51876,1237673310430494741,492082612194535424
188,0.0045661410567035,0.2112494,998,3674,55182,1237673310430494741,4136830672831795200
188,0.000301330489505112,0.2112217,871,8291,57391,1237673310430494741,9335075670290878464
189,0.000859945377318745,0.03688876,292,1163,52669,1237661388680200322,1309501900785215488
190,0.00135469836420413,0.2541572,260,1685,53463,1237662301374840978,1897212869385152512
191,0.000612212422849478,0.2807869,481,1785,54439,1237663547442987076,2009863624461412352
191,0.000225937978517526,0.2834395,585,8197,57064,1237663547442987076,9229162458480136192
192,0.00192318329485752,0.119668,444,1781,53297,1237663547976122397,2005349835191904256
