int_id,ra,dec,z,psfMag_g,fiberID,plate,mjd,bestobjid
112,208.107504309411,13.4814642729499,0.402565,16.824189999999998,149,1777,53857,1237662529526694003
113,25.1458968989919,23.7475362643822,0.3233816,16.77703,980,7687,57007,1237666275277209644
114,157.060606960451,21.331975196269,0.3733639,16.90939,9,2366,53741,1237667549268082776
115,164.612716800106,22.5926469594588,0.09356441,16.78429,228,2486,53876,1237667549271228440
116,162.964354268775,-0.8549051854983699,0.3589468,15.790920000000002,251,276,51909,1237648720149544981
117,166.632381386884,-0.8812136376939841,0.42369929999999995,16.26549,710,3773,55240,1237648720151117971
118,258.548483771929,57.9761127365733,0.09262062,16.62054,414,355,51788,1237651212287475940
119,256.172429695378,60.7418071025179,0.3715231,15.44781,377,353,51703,1237651225171132471
120,260.11124920086,55.673395753109105,0.3592547,16.97341,472,367,51997,1237651225710362748
121,139.98062373679,55.3602988828022,0.1228317,16.00401,133,451,51908,1237651249878007833
122,226.543769571274,2.2805621250440002,0.1346648,16.40363,586,539,52017,1237651736851054654
123,200.437386719864,3.51547971957148,0.26888959999999995,16.36615,537,526,52312,1237651737913393173
124,260.666389072333,30.8812841598767,0.04310874,16.36721,133,2974,54592,1237654953748201616
125,176.979490951157,9.04135094408408,0.06871108,16.30482,9,1225,52760,1237660612902977553
126,173.397686014557,9.65042584915821,0.3789705,16.938879999999997,39,1223,52781,1237660613975146630
127,178.421529788664,10.2983487120647,0.1605024,16.503610000000002,435,1227,52733,1237660614514245640
128,172.054268403917,10.385646705997699,0.05014781,16.34229,471,1223,52781,1237660615048364067
129,174.408531910742,10.6583791957367,0.17459760000000002,16.698529999999998,412,1224,52765,1237660615049347102
130,175.042193215612,10.491148171145301,0.1496747,16.959529999999997,502,1224,52765,1237660615049609277
131,154.187988182351,42.17376193601061,0.05502596,16.21303,54,1218,52709,1237660634383777814
132,185.14624383797698,38.887904044546296,0.3758788,16.93722,374,8834,57458,1237662223530655780
133,357.983848662867,-1.15369495464933,0.1743928,15.71855,698,9208,57688,1237663275779424259
134,149.982692117353,13.043819025097001,0.03524098,16.31363,372,1744,53055,1237664106852450313
135,206.906069667779,30.214517272985802,0.1175316,16.62782,630,2094,53851,1237665329860575281
136,175.31732547212602,21.939373704754896,0.06329135,16.685579999999998,639,2504,54179,1237667782293979150
137,180.887239642262,2.49292789963925,0.07723631,16.65983,360,517,52024,1237651736294195259
138,131.941919280657,38.5275923336861,0.3139918,16.8273,446,8829,57446,1237657775541714969
139,128.105623069398,37.1267266770351,0.09166554,16.01139,23,827,52312,1237657776614015113
140,116.423630918095,31.7157390082889,0.46088100000000004,15.67346,46,755,52235,1237657596220211254
141,119.083632612931,30.759857864713698,0.23644079999999998,16.97004,293,1061,52641,1237657606420758795
142,163.686251702587,48.527528022138995,0.2858998,15.86201,545,963,52643,1237658613589999623
143,151.858753606569,12.815623248672301,0.2407427,15.374239999999999,630,1744,53055,1237661069785956459
144,183.083452157566,45.860621388990296,0.3859257,16.96341,151,7427,56751,1237661874013601827
145,228.679455012092,36.8473384565634,0.3700202,16.68498,410,10743,58222,1237661874028871772
146,170.089049737397,11.076325175660902,0.4951543,16.80213,135,1605,53062,1237661948637544582
147,178.455285412146,11.4751198533863,0.1756542,16.40065,249,1610,53144,1237661948641148990
148,239.79012077648,35.0298619757863,0.03102375,15.71574,78,1417,53141,1237662504293892158
149,195.59633243695203,14.1025107529498,0.2852145,16.92333,107,1771,53498,1237662524696625212
