# name        ra           dec          phot_bmag comments pg_class Search_Offset     
  "PG 2112+059" 318.719125   6.12847222   15.52     0.466    QSO      2499.14869679579  
  "PG 2130+099" 323.11591667 10.13866667  14.62     "II ZW136" Sey      2283.6232693993375
  "PG 2209+185" 332.97454167 18.69722222  15.86     0.070    Sey      1947.427822492496 
  "PG 2214+139" 334.30108333 14.23913889  14.98     "MK 304" Sey      1748.6174704051675
  "PG 2233+135" 339.032      13.73205556  16.04     0.325    QSO      1493.6270667395265
  "PG 2251+113" 343.54341667 11.61075     16.25     PKS      QSO      1202.8331328619815
  "PG 2302+029" 346.18729167 3.19608333   16.03     1.044    QSO      850.2386516020271 
  "PG 2304+043" 346.76216667 4.54919444   15.44     0.042    Sey      839.0688117682917 
  "PG 2308+099" 347.82395833 10.13772222  16.12     "4C 09.32" QSO      947.6854892489773 
  "PG 2344+092" 356.6535     9.51263889   16.08     PKS      QSO      604.7400196395788 
  "PG 2349-014" 357.98383333 -1.15369444  15.0      PKS      QSO      139.36786604228752
