int_id,dist_arcsec,ra,dec,g,z,fiberID,plate,mjd,bestobjid,specobjid
165,0.0088081353131924,146.9833,53.83342,16.81651,0.4828672,444,8188,57348,1237655108368662532,9218990606298402816
166,0.0217117599718894,180.047,10.02656,16.84693,0.08525841,29,1227,52733,1237658492816261137,1381487203007358976
167,0.0360529305146181,208.3997,26.52988,16.82974,0.3079511,84,6006,56105,1237665550497546278,6762178032667217920
168,0.0377959803947204,227.3075,17.95278,16.84569,0.1705441,89,2792,54556,1237665565001973817,3143537080475346944
169,0.0580773209291769,169.4763,26.57129,16.80266,0.4207183,262,2216,53795,1237667430105677962,2495066275244435456
170,0.0657913835330095,181.1997,17.04912,16.99519,0.2979022,150,2595,54207,1237668495247212561,2921751560524425216
171,0.00242601063824056,343.2807,19.70961,16.94032,0.2840043,283,7609,56959,1237679504848912411,8567050298367168512
172,0.0372730771453861,133.2467,3.222397,16.21801,0.2967729,383,565,52225,1237654601556033738,636238762933774336
173,0.0737715888797865,151.0839,5.216799,16.4356,0.1601164,4,995,52731,1237658422476144713,1120271552638642176
174,0.0264700432710665,146.3724,9.602892,16.93962,0.01317231,179,1305,52757,1237660669814177814,1469348627829778432
175,0.0190950402612793,160.8603,11.09007,16.7986,0.04752789,310,1601,53115,1237660669820403794,1802651015267248128
176,0.0647189411052728,146.8884,10.08576,16.90138,0.1389904,548,1305,52757,1237660670351245396,1469450057777440768
177,0.0547897382874555,150.1412,10.78993,16.61263,0.2262018,494,1307,52999,1237660670889558085,1471687018244237312
178,0.0707331634674617,165.2574,11.04693,16.98309,0.03562488,218,1603,53119,1237661811729498144,1804877526380603392
179,0.0521727146295984,176.0846,11.58356,16.97898,0.270652,160,1608,53138,1237661811734151232,1810491083314980864
179,0.0171822502325686,176.0846,11.58356,16.97898,0.2702015,248,3245,54894,1237661811734151232,3653613449533038592
180,0.032319925456619,186.4447,12.66187,16.44751,0.008624043,388,1615,53166,1237661812812349452,1818435055295424512
181,0.145803741244705,192.3822,52.51087,16.58836,0.1621236,396,886,52381,1237662302428463129,997656209060292608
